iter	Passed	Remaining
0	59	29854
1	64	15963
2	69	11533
3	75	9311
4	78	7730
5	81	6704
6	84	5947
7	91	5618
8	94	5178
9	100	4942
10	105	4668
11	108	4408
12	112	4205
13	117	4078
14	122	3954
15	125	3789
16	128	3653
17	133	3566
18	140	3555
19	143	3450
20	147	3355
21	151	3282
22	156	3255
23	161	3195
24	163	3098
25	165	3014
26	167	2933
27	169	2860
28	171	2787
29	173	2723
30	176	2663
31	178	2606
32	180	2551
33	182	2500
34	184	2450
35	186	2403
36	188	2360
37	190	2316
38	192	2278
39	194	2241
40	197	2206
41	199	2170
42	201	2140
43	203	2110
44	205	2081
45	207	2052
46	210	2024
47	212	1998
48	214	1972
49	216	1946
50	218	1924
51	220	1899
52	222	1875
53	224	1852
54	226	1832
55	228	1811
56	230	1792
57	232	1772
58	234	1755
59	236	1736
60	238	1717
61	240	1701
62	242	1685
63	245	1670
64	247	1658
65	249	1641
66	251	1625
67	253	1610
68	255	1596
69	257	1584
70	260	1572
71	262	1559
72	264	1547
73	266	1534
74	268	1522
75	270	1509
76	272	1497
77	274	1484
78	276	1472
79	278	1459
80	279	1447
81	281	1436
82	283	1425
83	285	1415
84	287	1404
85	289	1393
86	291	1383
87	293	1374
88	295	1365
89	297	1356
90	299	1347
91	301	1338
92	303	1330
93	305	1320
94	307	1311
95	309	1302
96	311	1296
97	314	1288
98	316	1280
99	317	1271
100	319	1263
101	321	1255
102	323	1248
103	326	1241
104	328	1234
105	330	1227
106	332	1220
107	334	1214
108	336	1208
109	338	1200
110	340	1194
111	342	1187
112	344	1179
113	346	1172
114	348	1166
115	350	1160
116	352	1154
117	354	1148
118	357	1143
119	359	1137
120	361	1131
121	363	1125
122	365	1120
123	367	1113
124	369	1107
125	371	1101
126	373	1095
127	374	1089
128	376	1083
129	378	1078
130	380	1072
131	382	1066
132	384	1061
133	386	1056
134	389	1051
135	391	1047
136	393	1041
137	395	1037
138	397	1031
139	399	1026
140	401	1021
141	403	1016
142	404	1010
143	406	1005
144	408	1000
145	410	996
146	412	991
147	414	986
148	416	981
149	418	976
150	420	971
151	422	967
152	425	964
153	427	960
154	429	956
155	431	952
156	433	947
157	435	942
158	437	938
159	439	934
160	441	929
161	443	925
162	445	920
163	447	915
164	448	911
165	450	906
166	452	902
167	454	899
168	456	895
169	458	890
170	460	886
171	462	882
172	465	879
173	467	875
174	468	870
175	471	867
176	473	863
177	475	859
178	477	856
179	479	852
180	481	848
181	483	845
182	485	841
183	487	837
184	489	834
185	491	830
186	493	826
187	495	822
188	497	818
189	499	815
190	501	811
191	503	808
192	505	804
193	507	801
194	509	797
195	512	794
196	514	790
197	516	787
198	518	783
199	520	780
200	521	776
201	523	772
202	525	768
203	527	765
204	529	761
205	531	758
206	533	755
207	535	752
208	538	749
209	540	746
210	542	742
211	544	739
212	546	736
213	548	732
214	550	729
215	552	726
216	554	722
217	556	719
218	558	716
219	559	712
220	561	709
221	563	706
222	565	702
223	567	699
224	569	696
225	572	693
226	574	690
227	576	687
228	577	683
229	579	680
230	581	677
231	583	674
232	585	671
233	587	668
234	589	664
235	591	661
236	593	658
237	595	655
238	597	652
239	599	649
240	602	647
241	604	644
242	606	641
243	608	638
244	610	635
245	612	632
246	614	629
247	616	626
248	618	623
249	620	620
250	622	617
251	624	614
252	627	612
253	628	609
254	630	605
255	632	602
256	634	600
257	636	597
258	638	594
259	640	591
260	642	588
261	644	585
262	646	582
263	648	579
264	650	576
265	652	573
266	653	570
267	655	567
268	657	565
269	659	562
270	662	559
271	664	556
272	666	554
273	669	552
274	671	549
275	673	546
276	675	544
277	677	541
278	680	538
279	682	535
280	683	533
281	685	530
282	687	527
283	689	524
284	691	521
285	693	519
286	695	516
287	697	513
288	699	510
289	701	508
290	703	505
291	705	502
292	707	500
293	710	497
294	711	494
295	713	491
296	715	489
297	717	486
298	719	483
299	721	481
300	723	478
301	725	475
302	727	472
303	729	470
304	731	467
305	733	464
